n,Hour,Avg_Passengers
0,10,1.702255639
1,7,1.548654244
2,4,1.843575419
3,11,1.627145086
4,2,1.820987654
5,8,1.695987654
6,5,1.717105263
7,9,1.669365722
8,12,1.659459459
9,13,1.738589212
10,14,1.652759085
11,15,1.676549865
12,16,1.673076923
13,17,1.710294118
14,18,1.681623932
15,19,1.645636172
16,21,1.724053724
17,20,1.764519535
18,22,1.716019417
19,23,1.728813559
20,0,1.777003484
21,1,1.820638821
22,3,1.819742489
23,6,1.529166667
