n,Hour,Avg_Passengers
0,10,1.697976879
1,7,1.569832402
2,6,1.47080292
3,4,1.793939394
4,3,1.810344828
5,11,1.608761329
6,2,1.914965986
7,8,1.700434153
8,5,1.725490196
9,9,1.663768116
10,13,1.706214689
11,12,1.702331962
12,14,1.684491979
13,15,1.655033557
14,16,1.722638681
15,17,1.639004149
16,18,1.72037422
17,19,1.636842105
18,21,1.714285714
19,20,1.781777278
20,22,1.727272727
21,23,1.752562225
22,0,1.76199262
23,1,1.767676768
