n,Hour,Avg_Passengers
0,15,1.712441175
1,0,1.765637373
2,18,1.701565977
3,23,1.753069425
4,11,1.672961297
5,13,1.686233699
6,10,1.651421467
7,12,1.679595267
8,7,1.584075902
9,16,1.720527261
10,14,1.693615459
11,22,1.740115243
12,17,1.70474202
13,6,1.55466222
14,21,1.721064159
15,8,1.628770029
16,19,1.706775084
17,3,1.774534909
18,4,1.763869928
19,1,1.766011843
20,20,1.709610227
21,2,1.769540688
22,9,1.624780334
23,5,1.639945832
